Date,ID,Code,Notes,Description,Receiver,price
6/17/17,2417003W,5,"6/17/17: works, ready for donation","HP G62-225DX - Pentium T4500 - 3 GB RAM - 283GB
Windows 10",D2817001,400
6/17/17,2417004W,5,"6/17/17: works, ready for donation","HP G62-225DX - Pentium T4500 - 3 GB RAM - ? Hard Drive
Windows 10",D2817001,400
6/17/17,2417001A,5,"6/17/17: works, ready for donation","MacBook Pro 13 inch A1278
OSX 10.12 Sierra",D2817001,400
6/17/17,2417002A,5,"6/17/17: works, ready for donation","Macbook Air 11 inch A1465
OSX 10.12 Sierra",D2817001,4
6/17/17,2417005A,5,"6/17/17: works, ready for donation","Macbook A1181
Serial 4H644CKNWGK
1.87GHz Core 2 Duo 2GB 80GB OSX 10.6",D2817001,200
6/17/17,2417006A,5,"6/17/17: works, ready for donation","MacBook Pro A1286
OSX 10.12 Sierra",D2817001,300
6/17/17,2417007A,5,"6/17/17: works, ready for donation","MacBook Pro 13 inch W894752466D Mid 2009
OSX El Capitan
MB990LL/A",D2817001,1000
6/17/17,2417008W,-2,6/17/17: salvaged,Sony Vimeo X11-45276,,100
6/17/17,2417009W,0,10/17/18: Doesn’t exist (probably doesn't exist now),Dell XPS L702X,,400
6/17/17,2417012W,0,10/17/18: Missing,Missing!,,
6/17/17,2417013W,-2,"salvage, need ebay list",Dell Latitude D610,,90
6/17/17,2417014W,-2,"hard drive error, try using new hard drive, also needs 1GB RAM for windows 10",Dell Latitude D610,,90
6/17/17,2417015W,-2,Will display,"Lenovo 3000 J Series
Windows Vista
Will not run Windows 10 -> AMD Sempron 3000+/512Mb",,399
6/17/17,2417021W,-2,salvage,"Dell Latitude C540
http://www.ebay.com/itm/162581542182",,59
6/17/17,2417022W,-2,"salvaged, need ebay listing",Dell Latitude C540,,59
6/17/17,2417023W,-4,ebay SOLD,"Compaq Presario 1622
http://www.ebay.com/itm/162568767152",,30
6/17/17,2417024W,-2,salvage,Gateway 4520,,60
6/17/17,2417025W,5,Activated and ready to be donated,"HP (Model Number: G62) Laptop
Windows 10",D0718002,400
6/17/17,2417026W,-2,salvage,Dell Dimension 8300,,175
6/17/17,2417027W,5,"works, ready for donation","Gateway NV79
Windows 7 Home Premium",D2817001,849
6/17/17,2417028W,-2,salvaged,dell inspiron 530,,159
6/17/17,2417029W,5,"Works, installed Windows 10",dell inspiron 530,D0718002,290
6/17/17,2417030W,-1,"3/27/18: New battery ordered
4/4/18: battery missing
7/25/18: new battery ordered
8/14/18: new battery arrived
8/23/18: battery works
9/12/18: Computer very slow
10/24/18: The OS was installed and activated, but it didn't have a label, and it needed a new battery. It was also slow. (It needs a new battery too)","dell xps m1340
Windows Vista Home Premium
Battery is REV A00a Dell Type WR050",,90
6/17/17,2417031W,-2,salvaged,No Model Number,,
6/17/17,2417033W,5,"Works, installed Windows 10",Dell Inspiron 537S,D0718002,90
6/17/17,2417042A,-2,salvaged,"Serial: C02FT14QDMW8
iMac (27-inch Mid 2011)",,949
6/17/17,2417043A,5,"works, ready for donation","OSX 10.12 Sierra 1TB 4GB i7 2.9GHz
Serial: QP0340YCGXU
iMac (27-inch Mid 2010)",D2817001,749
6/17/17,2417044A,5,"works, ready for donation","iMac (21.5-inch, Late 2012)
2.9GHz i5 8GB 1TB OSX 10.12 Sierra
Serial: C02K568CDNCT",D2817001,649
6/17/17,2417045A,5,"works, ready for donation","Serial: D25LG09VF8J3
iMac (21.5-inch, Late 2013)
2.9GHz i5 8GB 1TB OSX 10.12 Sierra",D2817001,1179
6/17/17,2417046A,5,"works, ready for donation","iMac (21.5-inch, Late 2013) 
2.9GHz i5 8GB 1TB OSX 10.12 Sierra
Serial: D25LF02EF8J3",D2817001,1179
6/17/17,2417047A,5,"works, ready for donation","Serial: D25GV3WKDHJN
iMac (21.5-inch Mid 2011)
2.7GHz i7 4GB 1TB OSX 10.12",D2817001,499
6/17/17,2417048A,-2,salvaged,"Serial: W8048062GXU
iMac (27-inch Mid 2010)",,749
6/17/17,2417049W,-2,"won't turn on, jack authorized the salvage","Sony VGC-LT18E
19.5V
Windows Vista",,80
6/17/17,2417050A,5,"works, ready for donation","iMac (21.5-inch, Late 2013) 2.7GHz i5 16GB 1TB OSX 10.12
Serial: D25N33P5F8J7",D2817001,1179
6/17/17,2417051A,5,"works, ready for donation","Serial: D25JV04QDNML
iMac (21.5-inch, Late 2012) 2.7GHz i5 16GB 1TB
OSX 10.12 Sierra",D2817001,649
6/17/17,2417054W,-1,"6-27-18: HDD connector + bay ordered
7-2-18: Part arrived - INCORRECT PART
7-18-18: HDD connector ordered
7-25-18: HDD connector arrived - INCORRECT PART
10/3/18: D/C ports not working - no chargers fit","Sony PCG-41412L
VPCSE190X
19.5V",,220
6/17/17,2417057I,5,"works, ready for donation","iPad 2 32GB
Serial: DN6G890DDFHY
iOS 9.3.5",D2817001,210
6/17/17,2417058W,5,"works, ready for donation","HP Pavilion dv6
Windows 10 - Activated",D2817001,157
6/17/17,2417059I,5,"works, ready for donation","iPad 1 16GB
Serial: GB036SQ1A90
iOS 5.1.1",D2817001,70
6/17/17,2417060W,0,"6/17/17: works, needs upgrade to Windows 7 or 10
5-2-18: MISSING","Dell Latitude D820
Windows XP Home
MISSING AS OF 5-2-18",,169
6/17/17,2417062W,-4,ebay SOLD,"Dell Latitude D520
Windows XP Home
http://www.ebay.com/itm/162588795620",,249
6/17/17,2417063W,-4,"salvaged, ebay listed","IBM Thinkpad R40
http://www.ebay.com/itm/162581538616",,119
6/17/17,2417064W,-4,ebay SOLD,"Dell Inspiron 1526
http://www.ebay.com/itm/162568808817",,499
6/17/17,2417065W,-4,ebay SOLD,"Dell Inspiron 1525
http://www.ebay.com/itm/162568817468",,65
6/17/17,2417066W,-2,"salvaged, ebay listed","Compaq Presario V6000
http://www.ebay.com/itm/162581534786",,75
